"Year","Distance","BLOCK","avg.index"
2005,"2-3 blocks left",1624,171.100487240236
2005,"2-3 blocks left",1513,171.100487240236
2005,"2-3 blocks left",1511,171.100487240236
2005,"2-3 blocks left",1403,171.100487240236
2005,"2-3 blocks left",1516,171.100487240236
2005,"2-3 blocks left",1518,171.100487240236
2005,"2-3 blocks left",1519,171.100487240236
2005,"2-3 blocks left",1407,171.100487240236
2005,"2-3 blocks left",1508,171.100487240236
2005,"2-3 blocks left",1509,171.100487240236
2005,"2-3 blocks left",1510,171.100487240236
2005,"2-3 blocks left",1514,171.100487240236
2005,"2-3 blocks left",1515,171.100487240236
2005,"2-3 blocks left",1512,171.100487240236
2005,"2-3 blocks left",1520,171.100487240236
2005,"2-3 blocks left",1521,171.100487240236
2005,"2 blocks right",1560,156.018714031142
2005,"2 blocks right",1562,156.018714031142
2005,"2 blocks right",1563,156.018714031142
2005,"2 blocks right",1564,156.018714031142
2005,"2 blocks right",1565,156.018714031142
2005,"2 blocks right",1566,156.018714031142
2005,"2 blocks right",1567,156.018714031142
2005,"2 blocks right",1568,156.018714031142
2005,"2 blocks right",1569,156.018714031142
2005,"2 blocks right",1570,156.018714031142
2005,"2 blocks right",1571,156.018714031142
2005,"2 blocks right",1467,156.018714031142
2005,"2 blocks right",1559,156.018714031142
2005,"2 blocks right",1561,156.018714031142
2005,"2 blocks right",1466,156.018714031142
2005,"2 blocks right",1471,156.018714031142
2005,"2 blocks right",1468,156.018714031142
2005,"2 blocks right",1469,156.018714031142
2005,"2 blocks right",1470,156.018714031142
2005,"2 blocks right",1472,156.018714031142
2005,"2 blocks right",1473,156.018714031142
2005,"2 blocks right",1464,156.018714031142
2005,"3-4 blocks right",1576,216.657914516718
2005,"3-4 blocks right",1484,216.657914516718
2005,"3-4 blocks right",1485,216.657914516718
2005,"3-4 blocks right",1577,216.657914516718
2005,"3-4 blocks right",1483,216.657914516718
2005,"3-4 blocks right",1578,216.657914516718
2005,"3-4 blocks right",1579,216.657914516718
2005,"3-4 blocks right",1580,216.657914516718
2005,"3-4 blocks right",1581,216.657914516718
2005,"3-4 blocks right",1582,216.657914516718
2005,"3-4 blocks right",1583,216.657914516718
2005,"3-4 blocks right",1584,216.657914516718
2005,"3-4 blocks right",1585,216.657914516718
2005,"3-4 blocks right",1586,216.657914516718
2005,"3-4 blocks right",1589,216.657914516718
2005,"3-4 blocks right",1590,216.657914516718
2005,"3-4 blocks right",1487,216.657914516718
2005,"3-4 blocks right",1489,216.657914516718
2005,"4-5 blocks left",1390,148.428794607899
2005,"4-5 blocks left",1393,148.428794607899
2005,"4-5 blocks left",1383,148.428794607899
2005,"4-5 blocks left",1385,148.428794607899
2005,"4-5 blocks left",1386,148.428794607899
2005,"4-5 blocks left",1491,148.428794607899
2005,"4-5 blocks left",1389,148.428794607899
2005,"4-5 blocks left",1505,148.428794607899
2005,"4-5 blocks left",1506,148.428794607899
2005,"4-5 blocks left",1507,148.428794607899
2005,"4-5 blocks left",1392,148.428794607899
2005,"4-5 blocks left",1494,148.428794607899
2005,"4-5 blocks left",1495,148.428794607899
2005,"4-5 blocks left",1496,148.428794607899
2005,"4-5 blocks left",1384,148.428794607899
2005,"4-5 blocks left",1498,148.428794607899
2005,"4-5 blocks left",1500,148.428794607899
2005,"4-5 blocks left",1387,148.428794607899
2005,"4-5 blocks left",1388,148.428794607899
2005,"4-5 blocks left",1504,148.428794607899
2005,"4-5 blocks left",1502,148.428794607899
2005,"4-5 blocks left",1492,148.428794607899
2005,"4-5 blocks left",1391,148.428794607899
2005,"4-5 blocks left",1493,148.428794607899
2005,"4-5 blocks left",1501,148.428794607899
2005,"4-5 blocks left",1499,148.428794607899
2005,"4-5 blocks left",1602,148.428794607899
2005,"4-5 blocks left",1497,148.428794607899
2005,"4-5 blocks left",1503,148.428794607899
2005,"other",1375,219.468394138333
2005,"other",1376,219.468394138333
2005,"other",1377,219.468394138333
2005,"other",1378,219.468394138333
2005,"other",1379,219.468394138333
2005,"other",1380,219.468394138333
2005,"other",1381,219.468394138333
2005,"other",1382,219.468394138333
2005,"other",1754,219.468394138333
2005,"other",1767,219.468394138333
2005,"other",1770,219.468394138333
2005,"other",1771,219.468394138333
2005,"other",1772,219.468394138333
2005,"other",1774,219.468394138333
2005,"other",1775,219.468394138333
2005,"other",1783,219.468394138333
2005,"other",1785,219.468394138333
2005,"other",1786,219.468394138333
2005,"other",1788,219.468394138333
2005,"other",1395,219.468394138333
2005,"other",1396,219.468394138333
2005,"other",1397,219.468394138333
2005,"other",1398,219.468394138333
2005,"other",1399,219.468394138333
2005,"other",1400,219.468394138333
2005,"other",1401,219.468394138333
2005,"other",1402,219.468394138333
2005,"other",1604,219.468394138333
2005,"other",1608,219.468394138333
2005,"other",1613,219.468394138333
2005,"other",1614,219.468394138333
2005,"other",1615,219.468394138333
2005,"other",1616,219.468394138333
2005,"other",1621,219.468394138333
2005,"other",1622,219.468394138333
2005,"other",1456,219.468394138333
2005,"other",1457,219.468394138333
2005,"other",1458,219.468394138333
2005,"other",1415,219.468394138333
2005,"other",1416,219.468394138333
2005,"other",1417,219.468394138333
2005,"other",1418,219.468394138333
2005,"other",1419,219.468394138333
2005,"other",1420,219.468394138333
2005,"other",1421,219.468394138333
2005,"other",1422,219.468394138333
2005,"other",1635,219.468394138333
2005,"other",1636,219.468394138333
2005,"other",1637,219.468394138333
2005,"other",1638,219.468394138333
2005,"other",1639,219.468394138333
2005,"other",1643,219.468394138333
2005,"other",1644,219.468394138333
2005,"other",1645,219.468394138333
2005,"other",1680,219.468394138333
2005,"other",1654,219.468394138333
2005,"other",1655,219.468394138333
2005,"other",1435,219.468394138333
2005,"other",1436,219.468394138333
2005,"other",1437,219.468394138333
2005,"other",1438,219.468394138333
2005,"other",1439,219.468394138333
2005,"other",1440,219.468394138333
2005,"other",1441,219.468394138333
2005,"other",1674,219.468394138333
2005,"other",1676,219.468394138333
2005,"other",1603,219.468394138333
2005,"other",1629,219.468394138333
2005,"other",1681,219.468394138333
2005,"other",1683,219.468394138333
2005,"other",1687,219.468394138333
2005,"other",1688,219.468394138333
2005,"other",1708,219.468394138333
2005,"other",1709,219.468394138333
2005,"other",1710,219.468394138333
2005,"other",1711,219.468394138333
2005,"other",1715,219.468394138333
2005,"other",1716,219.468394138333
2005,"other",1460,219.468394138333
2005,"other",1461,219.468394138333
2005,"other",1677,219.468394138333
2005,"other",1630,219.468394138333
2005,"other",1631,219.468394138333
