"Year","Block","Total","index","Distance","avg.index"
2002,1614,15,0.666666666666667,"other",0.552239650630474
2002,1615,6,-0.4,"other",0.552239650630474
2002,1616,4,0,"other",0.552239650630474
2002,1617,8,0.333333333333333,"other",0.552239650630474
2002,1621,22,0.157894736842105,"other",0.552239650630474
2002,1622,15,0.363636363636364,"other",0.552239650630474
2002,1623,39,-0.613861386138614,"other",0.552239650630474
2002,1624,23,0.277777777777778,"2-3 blocks left",0.0860713960748979
2002,1625,24,1,"other",0.552239650630474
2002,1626,6,5,"other",0.552239650630474
2002,1627,9,-0.357142857142857,"other",0.552239650630474
2002,1628,2,-0.833333333333333,"other",0.552239650630474
2002,1629,15,0.666666666666667,"other",0.552239650630474
2002,1630,10,0.25,"other",0.552239650630474
2002,1631,13,1.6,"other",0.552239650630474
2002,1632,10,0.111111111111111,"other",0.552239650630474
2002,1633,16,-0.111111111111111,"other",0.552239650630474
2002,1634,7,-0.65,"other",0.552239650630474
2002,1635,12,0.2,"other",0.552239650630474
2002,1636,12,0.5,"other",0.552239650630474
2002,1637,17,1.83333333333333,"other",0.552239650630474
2002,1638,11,-0.214285714285714,"other",0.552239650630474
2002,1639,8,-0.428571428571429,"other",0.552239650630474
2002,1640,19,3.75,"other",0.552239650630474
2002,1643,25,0.25,"other",0.552239650630474
2002,1644,26,0.733333333333333,"other",0.552239650630474
2002,1645,5,0.666666666666667,"other",0.552239650630474
2002,1646,10,0.666666666666667,"1 block",0.222498386314012
2002,1647,8,0,"other",0.552239650630474
2002,1649,9,0.8,"other",0.552239650630474
2002,1652,17,0.888888888888889,"other",0.552239650630474
2002,1654,10,0.111111111111111,"other",0.552239650630474
2002,1655,18,0.384615384615385,"other",0.552239650630474
2002,1656,15,2,"other",0.552239650630474
2002,1659,6,-0.625,"other",0.552239650630474
2002,1660,20,3,"other",0.552239650630474
2002,1661,29,6.25,"other",0.552239650630474
2002,1662,3,0,"other",0.552239650630474
2002,1665,19,1.71428571428571,"other",0.552239650630474
2002,1666,13,0.625,"other",0.552239650630474
2002,1667,3,0.5,"other",0.552239650630474
2002,1669,9,-0.64,"other",0.552239650630474
2002,1672,3,0,"other",0.552239650630474
2002,1673,14,1.33333333333333,"other",0.552239650630474
2002,1674,16,4.33333333333333,"other",0.552239650630474
2002,1675,11,0.222222222222222,"other",0.552239650630474
2002,1677,7,2.5,"other",0.552239650630474
2002,1678,16,0,"other",0.552239650630474
2002,1680,5,0.25,"other",0.552239650630474
2002,1681,19,2.16666666666667,"other",0.552239650630474
2002,1682,6,0,"other",0.552239650630474
2002,1683,8,-0.2,"other",0.552239650630474
2002,1684,5,0,"other",0.552239650630474
2002,1687,7,-0.5625,"other",0.552239650630474
2002,1688,11,-0.266666666666667,"other",0.552239650630474
2002,1689,9,0,"other",0.552239650630474
2002,1691,2,1,"other",0.552239650630474
2002,1693,3,0,"other",0.552239650630474
2002,1694,1,0,"other",0.552239650630474
2002,1696,5,1.5,"other",0.552239650630474
2002,1699,6,-0.5,"other",0.552239650630474
2002,1700,3,2,"other",0.552239650630474
2002,1701,8,1,"other",0.552239650630474
2002,1704,5,0,"other",0.552239650630474
2002,1708,11,0.1,"other",0.552239650630474
